filter_id,variant,expression,layman_explanation,stat,source,layman
01F183,tens,"(sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5)",Eliminate if 4 or more odd digits appear in the combo and the tens sum equals 5.,26/311,keeper,"Eliminate if condition holds: (sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5)"
0F001,tens,(winner == 1),Eliminate if the tens sum equals 1.,0/311,keeper,Eliminate if condition holds: (winner == 1)
0F062,tens,(winner % 10 == 6),Eliminate if the tens sum ends in 6.,34/311,keeper,Eliminate if condition holds: (winner % 10 == 6)
0F064,tens,(winner % 10 == 5),Eliminate if the tens sum ends in 5.,35/311,keeper,Eliminate if condition holds: (winner % 10 == 5)
0F065,tens,(winner % 10 == 4),Eliminate if the tens sum ends in 4.,34/311,keeper,Eliminate if condition holds: (winner % 10 == 4)
0F204,tens,(max(combo_digits) - min(combo_digits) <4 and winner_structure == 5),Eliminate if the spread (highest - lowest digit) is less than 4 and the tens sum equals 5.,0/311,keeper,Eliminate if condition holds: (max(combo_digits) - min(combo_digits) <4 and winner_structure == 5)
0F207,tens,(winner >40),Eliminate if the tens sum is greater than 40.,0/311,keeper,Eliminate if condition holds: (winner >40)
0F235,tens,(winner==45 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==45 and seed<30)
0F236,tens,(winner==44 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==44 and seed<30)
0F237,tens,(winner==43 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==43 and seed<30)
0F238,tens,(winner==42 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==42 and seed<30)
0F239,tens,(winner==41 and seed<30),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==41 and seed<30)
0F240,tens,(winner==5),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (winner==5)
0F242,tens,(winner==3),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==3)
0F243,tens,(winner==2),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (winner==2)
0F298,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5)
0F299,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,9/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5)
0F300,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,6/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5)
0F301,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,5/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5)
0F302,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5)
0F564,tens,(len(set(combo_digits).intersection(seed_digits)) == 1),Eliminate based on a custom tens-digit condition.,0/311,keeper,Eliminate if condition holds: (len(set(combo_digits).intersection(seed_digits)) == 1)
0F620,tens,(winner == 2),Eliminate if the tens sum equals 2.,0/311,keeper,Eliminate if condition holds: (winner == 2)
0F621,tens,(winner == 3),Eliminate if the tens sum equals 3.,0/311,keeper,Eliminate if condition holds: (winner == 3)
0F627,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F634,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F638,tens,(winner < 6),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (winner < 6)
0F643,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate based on a custom tens-digit condition.,15/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 2)
0F647,tens,(winner > 42),Eliminate if the tens sum is greater than 42.,0/311,keeper,Eliminate if condition holds: (winner > 42)
0F652,tens,(winner < 8),Eliminate based on a custom tens-digit condition.,11/311,keeper,Eliminate if condition holds: (winner < 8)
0F656,tens,(winner < 14),Eliminate based on a custom tens-digit condition.,101/311,keeper,Eliminate if condition holds: (winner < 14)
0F658,tens,(winner < 6),Eliminate based on a custom tens-digit condition.,2/311,keeper,Eliminate if condition holds: (winner < 6)
0F662,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F665,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,3/311,keeper,Eliminate if condition holds: (sum(d % 2 == 1 for d in combo_digits) == 1)
0F666,tens,(winner < 11),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner < 11)
0F668,tens,(winner < 11),Eliminate based on a custom tens-digit condition.,42/311,keeper,Eliminate if condition holds: (winner < 11)
0F670,tens,(winner < 10),Eliminate based on a custom tens-digit condition.,26/311,keeper,Eliminate if condition holds: (winner < 10)
0F672,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
0F673,tens,(winner < 10),Eliminate based on a custom tens-digit condition.,26/311,keeper,Eliminate if condition holds: (winner < 10)
0F675,tens,(sum(d % 2 == 0 for d in combo_digits) == 1),Eliminate based on a custom tens-digit condition.,1/311,keeper,Eliminate if condition holds: (sum(d % 2 == 0 for d in combo_digits) == 1)
0F678,tens,(winner < 12),Eliminate based on a custom tens-digit condition.,56/311,keeper,Eliminate if condition holds: (winner < 12)
