filter_id,variant,expression,layman_explanation,stat,source
01F183,tens,"(sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5)","Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in {2,3,5,7}) is ≥ 4 AND winner value_structure equals 5)",26/311,keeper
0F001,tens,(winner == 1),Eliminate if (variant_name equals 'tens') AND (winner value equals 1),0/311,keeper
0F062,tens,(winner % 10 == 6),Eliminate if (variant_name equals 'tens') AND (winner value % 10 equals 6),34/311,keeper
0F064,tens,(winner % 10 == 5),Eliminate if (variant_name equals 'tens') AND (winner value % 10 equals 5),35/311,keeper
0F065,tens,(winner % 10 == 4),Eliminate if (variant_name equals 'tens') AND (winner value % 10 equals 4),34/311,keeper
0F204,tens,(max(combo_digits) - min(combo_digits) <4 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (max(combo_digits) - min(combo_digits) is <4 AND winner value_structure equals 5),0/311,keeper
0F207,tens,(winner >40),Eliminate if (variant_name equals 'tens') AND (winner value is >40),0/311,keeper
0F235,tens,(winner==45 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals45 AND seed valueis <30),0/311,keeper
0F236,tens,(winner==44 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals44 AND seed valueis <30),0/311,keeper
0F237,tens,(winner==43 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals43 AND seed valueis <30),0/311,keeper
0F238,tens,(winner==42 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals42 AND seed valueis <30),0/311,keeper
0F239,tens,(winner==41 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals41 AND seed valueis <30),0/311,keeper
0F240,tens,(winner==5),Eliminate if (variant_name equals 'tens') AND (winner valueequals5),2/311,keeper
0F242,tens,(winner==3),Eliminate if (variant_name equals 'tens') AND (winner valueequals3),0/311,keeper
0F243,tens,(winner==2),Eliminate if (variant_name equals 'tens') AND (winner valueequals2),0/311,keeper
0F298,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <14 AND winner value_structure equals 5 AND winner value_structure equals 5),9/311,keeper
0F299,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <13and winner value_structure equals 5 AND winner value_structure equals 5),9/311,keeper
0F300,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <12 AND winner value_structure equals 5 AND winner value_structure equals 5),6/311,keeper
0F301,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <11 AND winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
0F302,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits) is ≥5 AND winner value is <10 AND winner value_structure equals 5 AND winner value_structure equals 5),2/311,keeper
