filter_id,variant,expression,layman_explanation,stat,source
01F183,tens,"(sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5)","Eliminate if condition: (sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4 and winner_structure == 5)",26/311,keeper
0F001,tens,(winner == 1),Eliminate if the tens sum is 1.,0/311,keeper
0F062,tens,(winner % 10 == 6),Eliminate if condition: (winner % 10 == 6),34/311,keeper
0F064,tens,(winner % 10 == 5),Eliminate if condition: (winner % 10 == 5),35/311,keeper
0F065,tens,(winner % 10 == 4),Eliminate if condition: (winner % 10 == 4),34/311,keeper
0F204,tens,(max(combo_digits) - min(combo_digits) <4 and winner_structure == 5),Eliminate if the spread (highest minus lowest digit) is 4 or less.,0/311,keeper
0F207,tens,(winner >40),Eliminate if condition: (winner >40),0/311,keeper
0F235,tens,(winner==45 and seed<30),Eliminate if the tens sum is 45 while the seed sum is under 30.,0/311,keeper
0F236,tens,(winner==44 and seed<30),Eliminate if the tens sum is 44 while the seed sum is under 30.,0/311,keeper
0F237,tens,(winner==43 and seed<30),Eliminate if the tens sum is 43 while the seed sum is under 30.,0/311,keeper
0F238,tens,(winner==42 and seed<30),Eliminate if the tens sum is 42 while the seed sum is under 30.,0/311,keeper
0F239,tens,(winner==41 and seed<30),Eliminate if the tens sum is 41 while the seed sum is under 30.,0/311,keeper
0F240,tens,(winner==5),Eliminate if the tens sum is 5.,2/311,keeper
0F242,tens,(winner==3),Eliminate if the tens sum is 3.,0/311,keeper
0F243,tens,(winner==2),Eliminate if the tens sum is 2.,0/311,keeper
0F298,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5),Eliminate if condition: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <14 and winner_structure == 5 and winner_structure == 5),9/311,keeper
0F299,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5),Eliminate if condition: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <13and winner_structure == 5 and winner_structure == 5),9/311,keeper
0F300,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5),Eliminate if condition: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <12 and winner_structure == 5 and winner_structure == 5),6/311,keeper
0F301,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5),Eliminate if condition: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <11 and winner_structure == 5 and winner_structure == 5),5/311,keeper
0F302,tens,(sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5),Eliminate if condition: (sum(1 for d in combo_digits if d in seed_digits) >=5 and winner <10 and winner_structure == 5 and winner_structure == 5),2/311,keeper
0F564,tens,(len(set(combo_digits).intersection(seed_digits)) == 1),Eliminate if the combo shares exactly 1 digit with the seed.,0/311,keeper
0F620,tens,(winner == 2),Eliminate if the tens sum is 2.,0/311,keeper
0F621,tens,(winner == 3),Eliminate if the tens sum is 3.,0/311,keeper
0F627,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate if the combo has exactly 1 odd digit.,3/311,keeper
0F634,tens,(sum(d % 2 == 1 for d in combo_digits) == 1),Eliminate if the combo has exactly 1 odd digit.,3/311,keeper
0F638,tens,(winner < 6),Eliminate if condition: (winner < 6),2/311,keeper
0F643,tens,(sum(d % 2 == 1 for d in combo_digits) == 2),Eliminate if the combo has exactly 2 odd digits.,15/311,keeper
0F647,tens,(winner > 42),Eliminate if condition: (winner > 42),0/311,keeper
